Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,m6g.8xlarge,1.232,0.4863,,,,,1.232,1.232,1.232,1.232,1.232,1.232
us-east-1,m6g.large,0.077,0.0284,,,,,0.077,0.077,0.077,0.077,0.077,0.077
us-east-1,m6g.medium,0.0,0.0156,,,,,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385
us-east-1,m6g.metal,2.464,0.4945,,,,,2.464,2.464,2.464,2.464,2.464,2.464
us-east-1,m6g.xlarge,0.154,0.0491,,,,,0.154,0.154,0.154,0.154,0.154,0.154
us-east-1,m6gd.12xlarge,2.1696,0.5858,,,,,2.1696,2.1696,2.1696,2.1696,2.1696,2.1696
us-east-1,m6gd.16xlarge,2.8928,0.8253,,,,,2.8928,2.8928,2.8928,2.8928,2.8928,2.8928
us-east-1,m6gd.2xlarge,0.3616,0.1634,,,,,0.3616,0.3616,0.3616,0.3616,0.3616,0.3616
us-east-1,m6gd.4xlarge,0.7232,0.2519,,,,,0.7232,0.7232,0.7232,0.7232,0.7232,0.7232
us-east-1,m6gd.8xlarge,1.4464,0.4621,,,,,1.4464,1.4464,1.4464,1.4464,1.4464,1.4464
us-east-1,m6gd.large,0.0904,0.037,,,,,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904
us-east-1,m6gd.medium,0.0,0.0161,,,,,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452
us-east-1,m6gd.metal,2.8928,0.4603,,,,,2.8928,2.8928,2.8928,2.8928,2.8928,2.8928
us-east-1,m6gd.xlarge,0.1808,0.1133,,,,,0.1808,0.1808,0.1808,0.1808,0.1808,0.1808
us-east-1,m6i.12xlarge,3.1152,0.5875,,,,,3.1152,3.1152,3.1152,3.1152,3.1152,3.1152
us-east-1,m6i.16xlarge,0.0,1.201,,,,,10.752,10.752,10.752,10.752,10.752,10.752
us-east-1,m6i.24xlarge,16.128,1.8058,,,,,16.128,16.128,16.128,16.128,16.128,16.128
us-east-1,m6i.2xlarge,0.384,0.1752,,,,,0.384,0.384,0.384,0.384,0.384,0.384
us-east-1,m6i.32xlarge,21.504,1.5888,,,,,6.144,6.144,6.144,6.144,6.144,6.144
us-east-1,m6i.4xlarge,0.0,0.2682,,,,,2.688,2.688,2.688,2.688,2.688,2.688
us-east-1,m6i.8xlarge,5.376,0.5706,,,,,5.376,5.376,5.376,5.376,5.376,5.376
us-east-1,m6i.large,0.0,0.0323,,,,,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636
us-east-1,m6i.metal,21.504,1.1878,,,,,21.504,21.504,21.504,21.504,21.504,21.504
us-east-1,m6i.xlarge,0.0,0.0828,,,,,0.192,0.192,0.192,0.192,0.192,0.192
us-east-1,m6id.12xlarge,20.8476,1.0192,,,,,20.8476,20.8476,20.8476,20.8476,20.8476,20.8476
us-east-1,m6id.16xlarge,0.0,0.9344,,,,,3.7968,3.7968,3.7968,3.7968,3.7968,3.7968
us-east-1,m6id.24xlarge,0.0,1.9351,,,,,7.3176,7.3176,7.3176,7.3176,7.3176,7.3176
us-east-1,m6id.2xlarge,0.6098,0.2187,,,,,0.6098,0.6098,0.6098,0.6098,0.6098,0.6098
