Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,r5b.16xlarge,28.768,1.9367,,,,,28.768,28.768,28.768,28.768,28.768,28.768
us-east-1,r5b.24xlarge,43.152,3.9719,,,,,7.152,7.152,7.152,7.152,7.152,7.152
us-east-1,r5b.2xlarge,0.0,0.3553,,,,,3.596,3.596,3.596,3.596,3.596,3.596
us-east-1,r5b.4xlarge,1.192,0.6639,,,,,1.4624,1.4624,1.4624,1.4624,1.4624,1.4624
us-east-1,r5b.8xlarge,0.0,2.0206,,,,,2.9248,2.9248,2.9248,2.9248,2.9248,2.9248
us-east-1,r5b.large,0.629,0.0517,,,,,0.149,0.149,0.149,0.149,0.149,0.149
us-east-1,r5b.metal,0.0,2.6684,,,,,18.672,18.672,18.672,18.672,18.672,18.672
us-east-1,r5b.xlarge,0.298,0.1724,,,,,0.778,0.778,0.778,0.778,0.778,0.778
us-east-1,r5d.12xlarge,9.216,1.1692,,,,,4.267,4.267,4.267,4.267,4.267,4.267
us-east-1,r5d.16xlarge,28.608,1.5598,,,,,12.288,12.288,12.288,12.288,12.288,12.288
us-east-1,r5d.24xlarge,6.912,1.9851,,,,,6.912,6.912,6.912,6.912,6.912,6.912
us-east-1,r5d.2xlarge,0.0,0.3581,,,,,3.576,3.576,3.576,3.576,3.576,3.576
us-east-1,r5d.4xlarge,7.152,0.6021,,,,,3.072,3.072,3.072,3.072,3.072,3.072
us-east-1,r5d.8xlarge,0.0,0.6754,,,,,14.304,14.304,14.304,14.304,14.304,14.304
us-east-1,r5d.large,0.144,0.0728,,,,,0.624,0.624,0.624,0.624,0.624,0.624
us-east-1,r5d.metal,6.912,2.0834,,,,,6.912,6.912,6.912,6.912,6.912,6.912
us-east-1,r5d.xlarge,1.788,0.1556,,,,,1.788,1.788,1.788,1.788,1.788,1.788
us-east-1,r5dn.12xlarge,0.0,1.2794,,,,,4.008,4.008,4.008,4.008,4.008,4.008
us-east-1,r5dn.16xlarge,29.344,1.497,,,,,29.344,29.344,29.344,29.344,29.344,29.344
us-east-1,r5dn.24xlarge,0.0,2.2625,,,,,8.016,8.016,8.016,8.016,8.016,8.016
us-east-1,r5dn.2xlarge,0.0,0.3524,,,,,1.628,1.628,1.628,1.628,1.628,1.628
us-east-1,r5dn.4xlarge,0.0,0.6518,,,,,1.606,1.606,1.606,1.606,1.606,1.606
us-east-1,r5dn.8xlarge,0.0,1.3362,,,,,6.512,6.512,6.512,6.512,6.512,6.512
us-east-1,r5dn.large,0.0,0.0885,,,,,0.235,0.235,0.235,0.235,0.235,0.235
us-east-1,r5dn.metal,9.638,0.9005,,,,,44.016,44.016,44.016,44.016,44.016,44.016
us-east-1,r5dn.xlarge,0.814,0.176,,,,,0.334,0.334,0.334,0.334,0.334,0.334
us-east-1,r5n.12xlarge,4.387,1.4052,,,,,4.387,4.387,4.387,4.387,4.387,4.387
us-east-1,r5n.16xlarge,12.448,1.3151,,,,,12.448,12.448,12.448,12.448,12.448,12.448
us-east-1,r5n.24xlarge,43.152,1.7589,,,,,18.672,18.672,18.672,18.672,18.672,18.672
us-east-1,r5n.2xlarge,0.596,0.3372,,,,,0.596,0.596,0.596,0.596,0.596,0.596
us-east-1,r5n.4xlarge,1.462,0.7195,,,,,1.462,1.462,1.462,1.462,1.462,1.462
us-east-1,r5n.8xlarge,0.0,0.6027,,,,,2.384,2.384,2.384,2.384,2.384,2.384
us-east-1,r5n.large,0.149,0.0582,,,,,0.149,0.149,0.149,0.149,0.149,0.149
us-east-1,r5n.metal,7.152,1.7461,,,,,7.152,7.152,7.152,7.152,7.152,7.152
us-east-1,r5n.xlarge,0.778,0.1482,,,,,0.778,0.778,0.778,0.778,0.778,0.778
us-east-1,r6a.12xlarge,8.4816,0.932,,,,,8.4816,8.4816,8.4816,8.4816,8.4816,8.4816
us-east-1,r6a.16xlarge,11.3088,0.8656,,,,,11.3088,11.3088,11.3088,11.3088,11.3088,11.3088
us-east-1,r6a.24xlarge,7.0656,1.4038,,,,,7.0656,7.0656,7.0656,7.0656,7.0656,7.0656
us-east-1,r6a.2xlarge,0.0,0.1928,,,,,0.5888,0.5888,0.5888,0.5888,0.5888,0.5888
us-east-1,r6a.32xlarge,9.4208,1.8515,,,,,9.4208,9.4208,9.4208,9.4208,9.4208,9.4208
us-east-1,r6a.48xlarge,14.1312,2.4318,,,,,14.1312,14.1312,14.1312,14.1312,14.1312,14.1312
us-east-1,r6a.4xlarge,0.0,0.3513,,,,,0.9072,0.9072,0.9072,0.9072,0.9072,0.9072
us-east-1,r6a.8xlarge,1.8144,0.207,,,,,1.8144,1.8144,1.8144,1.8144,1.8144,1.8144
us-east-1,r6a.large,0.5934,0.0422,,,,,0.181,0.181,0.181,0.181,0.181,0.181
us-east-1,r6a.metal,10.8864,2.0072,,,,,10.8864,10.8864,10.8864,10.8864,10.8864,10.8864
us-east-1,r6a.xlarge,0.7068,0.0561,,,,,0.7068,0.7068,0.7068,0.7068,0.7068,0.7068
us-east-1,r6g.12xlarge,0.0,0.5721,,,,,2.4192,2.4192,2.4192,2.4192,2.4192,2.4192
us-east-1,r6g.16xlarge,3.2256,0.8474,,,,,3.2256,3.2256,3.2256,3.2256,3.2256,3.2256
us-east-1,r6g.2xlarge,0.4032,0.1031,,,,,0.4032,0.4032,0.4032,0.4032,0.4032,0.4032
us-east-1,r6g.4xlarge,0.8064,0.3371,,,,,0.8064,0.8064,0.8064,0.8064,0.8064,0.8064
us-east-1,r6g.8xlarge,0.0,0.4149,,,,,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
us-east-1,r6g.large,0.0,0.028,,,,,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008
us-east-1,r6g.medium,0.0504,0.0166,,,,,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504
us-east-1,r6g.metal,3.2256,0.7003,,,,,3.2256,3.2256,3.2256,3.2256,3.2256,3.2256
us-east-1,r6g.xlarge,0.2016,0.064,,,,,0.2016,0.2016,0.2016,0.2016,0.2016,0.2016
us-east-1,r6gd.12xlarge,2.7648,0.6538,,,,,2.7648,2.7648,2.7648,2.7648,2.7648,2.7648
us-east-1,r6gd.16xlarge,0.0,0.8721,,,,,3.6864,3.6864,3.6864,3.6864,3.6864,3.6864
us-east-1,r6gd.2xlarge,0.0,0.2472,,,,,0.4608,0.4608,0.4608,0.4608,0.4608,0.4608
us-east-1,r6gd.4xlarge,0.9216,0.3938,,,,,0.9216,0.9216,0.9216,0.9216,0.9216,0.9216
us-east-1,r6gd.8xlarge,0.0,0.5872,,,,,1.8432,1.8432,1.8432,1.8432,1.8432,1.8432
us-east-1,r6gd.large,0.0,0.0402,,,,,0.1152,0.1152,0.1152,0.1152,0.1152,0.1152
us-east-1,r6gd.medium,0.0576,0.0172,,,,,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576
us-east-1,r6gd.metal,0.0,0.9487,,,,,3.6864,3.6864,3.6864,3.6864,3.6864,3.6864
us-east-1,r6gd.xlarge,0.0,0.1236,,,,,0.2304,0.2304,0.2304,0.2304,0.2304,0.2304
us-east-1,r6i.12xlarge,8.784,0.7932,,,,,8.784,8.784,8.784,8.784,8.784,8.784
us-east-1,r6i.16xlarge,0.0,1.2981,,,,,28.032,28.032,28.032,28.032,28.032,28.032
us-east-1,r6i.24xlarge,7.6704,2.817,,,,,42.048,42.048,42.048,42.048,42.048,42.048
us-east-1,r6i.2xlarge,1.464,0.2318,,,,,0.6392,0.6392,0.6392,0.6392,0.6392,0.6392
us-east-1,r6i.32xlarge,56.064,1.9471,,,,,8.064,8.064,8.064,8.064,8.064,8.064
us-east-1,r6i.4xlarge,0.0,0.4373,,,,,1.2784,1.2784,1.2784,1.2784,1.2784,1.2784
us-east-1,r6i.8xlarge,2.5568,0.6605,,,,,2.5568,2.5568,2.5568,2.5568,2.5568,2.5568
us-east-1,r6i.large,0.0,0.0405,,,,,0.126,0.126,0.126,0.126,0.126,0.126
us-east-1,r6i.metal,0.0,1.8967,,,,,56.064,56.064,56.064,56.064,56.064,56.064
us-east-1,r6i.xlarge,0.252,0.1093,,,,,0.252,0.252,0.252,0.252,0.252,0.252
us-east-1,r6id.12xlarge,3.6288,1.6259,,,,,3.6288,3.6288,3.6288,3.6288,3.6288,3.6288
us-east-1,r6id.16xlarge,0.0,1.2666,,,,,28.8384,28.8384,28.8384,28.8384,28.8384,28.8384
us-east-1,r6id.24xlarge,8.88,2.5726,,,,,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576
us-east-1,r6id.2xlarge,1.5648,0.3102,,,,,1.5648,1.5648,1.5648,1.5648,1.5648,1.5648
us-east-1,r6id.32xlarge,0.0,3.1569,,,,,25.0368,25.0368,25.0368,25.0368,25.0368,25.0368
us-east-1,r6id.4xlarge,1.2096,0.5424,,,,,7.2096,7.2096,7.2096,7.2096,7.2096,7.2096
us-east-1,r6id.8xlarge,6.2592,1.0765,,,,,6.2592,6.2592,6.2592,6.2592,6.2592,6.2592
us-east-1,r6id.large,0.0,0.0493,,,,,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188
us-east-1,r6id.metal,25.0368,2.8055,,,,,25.0368,25.0368,25.0368,25.0368,25.0368,25.0368
us-east-1,r6id.xlarge,0.0,0.1616,,,,,1.8024,1.8024,1.8024,1.8024,1.8024,1.8024
us-east-1,r6idn.12xlarge,0.0,1.8405,,,,,4.68936,4.68936,4.68936,4.68936,4.68936,4.68936
us-east-1,r6idn.16xlarge,30.25248,2.3425,,,,,7.33408,7.33408,7.33408,7.33408,7.33408,7.33408
us-east-1,r6idn.24xlarge,9.37872,2.5535,,,,,9.37872,9.37872,9.37872,9.37872,9.37872,9.37872
us-east-1,r6idn.2xlarge,0.78156,0.5054,,,,,0.78156,0.78156,0.78156,0.78156,0.78156,0.78156
us-east-1,r6idn.32xlarge,12.50496,3.2206,,,,,12.50496,12.50496,12.50496,12.50496,12.50496,12.50496
us-east-1,r6idn.4xlarge,7.56312,0.6855,,,,,7.56312,7.56312,7.56312,7.56312,7.56312,7.56312
us-east-1,r6idn.8xlarge,0.0,1.0418,,,,,3.12624,3.12624,3.12624,3.12624,3.12624,3.12624
us-east-1,r6idn.large,0.19539,0.0759,,,,,0.19539,0.19539,0.19539,0.19539,0.19539,0.19539
us-east-1,r6idn.metal,0.0,1.2505,,,,,14.66816,14.66816,14.66816,14.66816,14.66816,14.66816
us-east-1,r6idn.xlarge,0.87078,0.1801,,,,,0.87078,0.87078,0.87078,0.87078,0.87078,0.87078
us-east-1,r6in.12xlarge,9.94392,1.3266,,,,,9.94392,9.94392,9.94392,9.94392,9.94392,9.94392
us-east-1,r6in.16xlarge,0.0,1.7348,,,,,5.57856,5.57856,5.57856,5.57856,5.57856,5.57856
us-east-1,r6in.24xlarge,19.88784,2.3278,,,,,44.36784,44.36784,44.36784,44.36784,44.36784,44.36784
us-east-1,r6in.2xlarge,0.69732,0.2661,,,,,3.69732,3.69732,3.69732,3.69732,3.69732,3.69732
us-east-1,r6in.32xlarge,59.15712,2.6376,,,,,59.15712,59.15712,59.15712,59.15712,59.15712,59.15712
us-east-1,r6in.4xlarge,7.39464,0.9352,,,,,7.39464,7.39464,7.39464,7.39464,7.39464,7.39464
us-east-1,r6in.8xlarge,3.33008,0.7187,,,,,3.33008,3.33008,3.33008,3.33008,3.33008,3.33008
us-east-1,r6in.large,0.17433,0.0223,,,,,0.24193,0.24193,0.24193,0.24193,0.24193,0.24193
us-east-1,r6in.metal,0.0,1.1795,,,,,11.15712,11.15712,11.15712,11.15712,11.15712,11.15712
us-east-1,r6in.xlarge,0.41626,0.1569,,,,,0.41626,0.41626,0.41626,0.41626,0.41626,0.41626
us-east-1,r7a.12xlarge,0.0,1.3338,,,,,9.4116,9.4116,9.4116,9.4116,9.4116,9.4116
us-east-1,r7a.16xlarge,4.8688,1.0921,,,,,4.8688,4.8688,4.8688,4.8688,4.8688,4.8688
us-east-1,r7a.24xlarge,7.3032,0.8781,,,,,7.3032,7.3032,7.3032,7.3032,7.3032,7.3032
us-east-1,r7a.2xlarge,0.7438,0.2569,,,,,0.7438,0.7438,0.7438,0.7438,0.7438,0.7438
us-east-1,r7a.32xlarge,9.7376,2.3602,,,,,9.7376,9.7376,9.7376,9.7376,9.7376,9.7376
us-east-1,r7a.48xlarge,17.8512,2.3493,,,,,17.8512,17.8512,17.8512,17.8512,17.8512,17.8512
us-east-1,r7a.4xlarge,0.0,0.5886,,,,,7.2172,7.2172,7.2172,7.2172,7.2172,7.2172
us-east-1,r7a.8xlarge,2.4344,0.277,,,,,2.4344,2.4344,2.4344,2.4344,2.4344,2.4344
us-east-1,r7a.large,0.63215,0.0591,,,,,0.21975,0.21975,0.21975,0.21975,0.21975,0.21975
us-east-1,r7a.medium,0.14368,0.0238,,,,,0.14368,0.14368,0.14368,0.14368,0.14368,0.14368
us-east-1,r7a.metal-48xl,86.6064,3.741,,,,,17.8512,17.8512,17.8512,17.8512,17.8512,17.8512
us-east-1,r7a.xlarge,0.3719,0.131,,,,,0.3719,0.3719,0.3719,0.3719,0.3719,0.3719
us-east-1,r7g.12xlarge,0.0,0.7775,,,,,2.5704,2.5704,2.5704,2.5704,2.5704,2.5704
us-east-1,r7g.16xlarge,0.0,0.7367,,,,,3.4272,3.4272,3.4272,3.4272,3.4272,3.4272
us-east-1,r7g.2xlarge,0.4284,0.1305,,,,,0.4284,0.4284,0.4284,0.4284,0.4284,0.4284
us-east-1,r7g.4xlarge,0.8568,0.2779,,,,,0.8568,0.8568,0.8568,0.8568,0.8568,0.8568
us-east-1,r7g.8xlarge,0.0,0.5454,,,,,1.7136,1.7136,1.7136,1.7136,1.7136,1.7136
us-east-1,r7g.large,0.1071,0.0294,,,,,0.1071,0.1071,0.1071,0.1071,0.1071,0.1071
us-east-1,r7g.medium,0.0536,0.0178,,,,,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536
us-east-1,r7g.metal,3.4272,0.6077,,,,,3.4272,3.4272,3.4272,3.4272,3.4272,3.4272
us-east-1,r7g.xlarge,0.2142,0.0596,,,,,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142
us-east-1,r7gd.12xlarge,0.0,0.9095,,,,,3.2659,3.2659,3.2659,3.2659,3.2659,3.2659
us-east-1,r7gd.16xlarge,4.3546,1.4938,,,,,4.3546,4.3546,4.3546,4.3546,4.3546,4.3546
us-east-1,r7gd.2xlarge,0.5443,0.2651,,,,,0.5443,0.5443,0.5443,0.5443,0.5443,0.5443
us-east-1,r7gd.4xlarge,1.0886,0.5172,,,,,1.0886,1.0886,1.0886,1.0886,1.0886,1.0886
us-east-1,r7gd.8xlarge,2.1773,0.6161,,,,,2.1773,2.1773,2.1773,2.1773,2.1773,2.1773
us-east-1,r7gd.large,0.1361,0.0451,,,,,0.1361,0.1361,0.1361,0.1361,0.1361,0.1361
us-east-1,r7gd.medium,0.068,0.018,,,,,0.068,0.068,0.068,0.068,0.068,0.068
us-east-1,r7gd.metal,4.3546,0.8779,,,,,4.3546,4.3546,4.3546,4.3546,4.3546,4.3546
us-east-1,r7gd.xlarge,0.2722,0.1136,,,,,0.2722,0.2722,0.2722,0.2722,0.2722,0.2722
us-east-1,r7i.12xlarge,0.0,0.9661,,,,,21.1752,21.1752,21.1752,21.1752,21.1752,21.1752
us-east-1,r7i.16xlarge,0.0,1.4813,,,,,4.2336,4.2336,4.2336,4.2336,4.2336,4.2336
us-east-1,r7i.24xlarge,0.0,2.938,,,,,7.9728,7.9728,7.9728,7.9728,7.9728,7.9728
us-east-1,r7i.2xlarge,0.0,0.2,,,,,0.5292,0.5292,0.5292,0.5292,0.5292,0.5292
us-east-1,r7i.48xlarge,35.7408,3.2978,,,,,12.7008,12.7008,12.7008,12.7008,12.7008,12.7008
us-east-1,r7i.4xlarge,7.0584,0.4155,,,,,2.9784,2.9784,2.9784,2.9784,2.9784,2.9784
us-east-1,r7i.8xlarge,0.0,0.4181,,,,,14.1168,14.1168,14.1168,14.1168,14.1168,14.1168
us-east-1,r7i.large,0.6123,0.0452,,,,,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323
us-east-1,r7i.metal-24xl,0.0,1.0132,,,,,6.3504,6.3504,6.3504,6.3504,6.3504,6.3504
us-east-1,r7i.metal-48xl,84.7008,2.4803,,,,,84.7008,84.7008,84.7008,84.7008,84.7008,84.7008
us-east-1,r7i.xlarge,0.7446,0.1254,,,,,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446
us-east-1,r7iz.12xlarge,4.464,1.3947,,,,,5.2752,5.2752,5.2752,5.2752,5.2752,5.2752
us-east-1,r7iz.16xlarge,0.0,1.5606,,,,,7.0336,7.0336,7.0336,7.0336,7.0336,7.0336
us-east-1,r7iz.2xlarge,0.0,0.3549,,,,,3.744,3.744,3.744,3.744,3.744,3.744
us-east-1,r7iz.32xlarge,0.0,4.0957,,,,,27.264,27.264,27.264,27.264,27.264,27.264
us-east-1,r7iz.4xlarge,3.408,0.7938,,,,,3.408,3.408,3.408,3.408,3.408,3.408
us-east-1,r7iz.8xlarge,3.5168,0.7557,,,,,3.5168,3.5168,3.5168,3.5168,3.5168,3.5168
us-east-1,r7iz.large,0.2536,0.0499,,,,,0.186,0.186,0.186,0.186,0.186,0.186
us-east-1,r7iz.metal-16xl,29.952,0.8765,,,,,29.952,29.952,29.952,29.952,29.952,29.952
us-east-1,r7iz.metal-32xl,27.264,1.9361,,,,,27.264,27.264,27.264,27.264,27.264,27.264
us-east-1,r7iz.xlarge,0.0,0.1314,,,,,0.372,0.372,0.372,0.372,0.372,0.372
us-east-1,r8g.12xlarge,0.0,0.7786,,,,,2.82768,2.82768,2.82768,2.82768,2.82768,2.82768
us-east-1,r8g.16xlarge,0.0,0.9552,,,,,3.77024,3.77024,3.77024,3.77024,3.77024,3.77024
us-east-1,r8g.24xlarge,5.65536,0.9835,,,,,5.65536,5.65536,5.65536,5.65536,5.65536,5.65536
us-east-1,r8g.2xlarge,0.0,0.1642,,,,,0.47128,0.47128,0.47128,0.47128,0.47128,0.47128
us-east-1,r8g.48xlarge,0.0,3.0767,,,,,11.31072,11.31072,11.31072,11.31072,11.31072,11.31072
us-east-1,r8g.4xlarge,0.0,0.3372,,,,,0.94256,0.94256,0.94256,0.94256,0.94256,0.94256
us-east-1,r8g.8xlarge,1.88512,0.4972,,,,,1.88512,1.88512,1.88512,1.88512,1.88512,1.88512
us-east-1,r8g.large,0.11782,0.0428,,,,,0.11782,0.11782,0.11782,0.11782,0.11782,0.11782
us-east-1,r8g.medium,0.0,0.0149,,,,,0.05891,0.05891,0.05891,0.05891,0.05891,0.05891
us-east-1,r8g.metal-24xl,0.0,1.4266,,,,,5.65536,5.65536,5.65536,5.65536,5.65536,5.65536
us-east-1,r8g.metal-48xl,11.31072,1.4665,,,,,11.31072,11.31072,11.31072,11.31072,11.31072,11.31072
us-east-1,r8g.xlarge,0.23564,0.0826,,,,,0.23564,0.23564,0.23564,0.23564,0.23564,0.23564
us-east-1,r8gd.12xlarge,3.52704,1.0396,,,,,,,,,,
us-east-1,r8gd.16xlarge,4.70272,1.4731,,,,,,,,,,
us-east-1,r8gd.24xlarge,7.05408,2.0214,,,,,,,,,,
us-east-1,r8gd.2xlarge,0.58784,0.1752,,,,,,,,,,
us-east-1,r8gd.48xlarge,14.10816,2.3464,,,,,,,,,,
us-east-1,r8gd.4xlarge,1.17568,0.7932,,,,,,,,,,
us-east-1,r8gd.8xlarge,2.35136,0.4206,,,,,,,,,,
us-east-1,r8gd.large,0.14696,0.0407,,,,,,,,,,
us-east-1,r8gd.medium,0.0,0.0173,,,,,,,,,,
us-east-1,r8gd.metal-24xl,7.05408,0.8023,,,,,,,,,,
us-east-1,r8gd.metal-48xl,14.10816,2.9772,,,,,,,,,,
us-east-1,r8gd.xlarge,0.29392,0.1179,,,,,,,,,,
us-east-1,t1.micro,0.02,0.002,,,,,0.02,0.02,0.02,0.02,0.02,0.02
us-east-1,t2.2xlarge,0.3712,0.0935,,,,,0.3712,0.3712,0.3712,0.3712,0.3712,0.3712
us-east-1,t2.large,0.0,0.034,,,,,0.1604,0.1604,0.1604,0.1604,0.1604,0.1604
us-east-1,t2.medium,0.0,0.0333,,,,,0.114,0.114,0.114,0.114,0.114,0.114
us-east-1,t2.micro,0.0116,0.0036,,,,,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
us-east-1,t2.nano,0.0058,,,,,,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
us-east-1,t2.small,0.0908,0.0091,,,,,0.023,0.023,0.023,0.023,0.023,0.023
us-east-1,t2.xlarge,0.0,0.065,,,,,1.6856,1.6856,1.6856,1.6856,1.6856,1.6856
us-east-1,t3.2xlarge,0.0,0.0863,,,,,0.468,0.468,0.468,0.468,0.468,0.468
us-east-1,t3.large,0.0832,0.0308,,,,,0.0832,0.0832,0.0832,0.0832,0.0832,0.0832
us-east-1,t3.medium,0.0,0.0178,,,,,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416
us-east-1,t3.micro,0.0,0.0033,,,,,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104
us-east-1,t3.nano,0.0052,0.0009,,,,,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
us-east-1,t3.small,0.0884,0.0075,,,,,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884
us-east-1,t3.xlarge,0.234,0.0512,,,,,0.234,0.234,0.234,0.234,0.234,0.234
us-east-1,t3a.2xlarge,0.0,0.136,,,,,1.2608,1.2608,1.2608,1.2608,1.2608,1.2608
us-east-1,t3a.large,0.1428,0.0201,,,,,0.1428,0.1428,0.1428,0.1428,0.1428,0.1428
us-east-1,t3a.medium,0.1052,0.0106,,,,,0.1052,0.1052,0.1052,0.1052,0.1052,0.1052
us-east-1,t3a.micro,0.0094,0.0037,,,,,0.077,0.077,0.077,0.077,0.077,0.077
us-east-1,t3a.nano,0.0047,0.0011,,,,,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
us-east-1,t3a.small,0.0,0.0052,,,,,0.0864,0.0864,0.0864,0.0864,0.0864,0.0864
us-east-1,t3a.xlarge,0.0,0.0458,,,,,1.6504,1.6504,1.6504,1.6504,1.6504,1.6504
us-east-1,t4g.2xlarge,0.2688,0.084,,,,,0.2688,0.2688,0.2688,0.2688,0.2688,0.2688
us-east-1,t4g.large,0.0672,0.0189,,,,,0.0672,0.0672,0.0672,0.0672,0.0672,0.0672
us-east-1,t4g.medium,0.0,0.0123,,,,,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336
us-east-1,t4g.micro,0.0,0.0066,,,,,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084
us-east-1,t4g.nano,0.0,0.0014,,,,,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
us-east-1,t4g.small,0.0168,0.0079,,,,,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168
us-east-1,t4g.xlarge,0.0,0.0624,,,,,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344
us-east-1,trn1.2xlarge,1.34375,0.3613,,,,,1.34375,1.34375,1.34375,1.34375,1.34375,1.34375
us-east-1,trn1.32xlarge,21.5,12.6677,,,,,21.5,21.5,21.5,21.5,21.5,21.5
us-east-1,trn1n.32xlarge,0.0,5.2681,,,,,24.78,24.78,24.78,24.78,24.78,24.78
us-east-1,u-12tb1.112xlarge,109.2,,,,,,162.96,162.96,162.96,162.96,162.96,162.96
us-east-1,u-18tb1.112xlarge,0.0,,,,,,331.8,331.8,331.8,331.8,331.8,331.8
us-east-1,u-24tb1.112xlarge,0.0,,,,,,272.16,272.16,272.16,272.16,272.16,272.16
us-east-1,u-3tb1.56xlarge,0.0,,,,,,31.0856,31.0856,31.0856,31.0856,31.0856,31.0856
us-east-1,u-6tb1.112xlarge,0.0,,,,,,222.6,222.6,222.6,222.6,222.6,222.6
us-east-1,u-6tb1.56xlarge,0.0,,,,,,46.40391,46.40391,46.40391,46.40391,46.40391,46.40391
us-east-1,u-9tb1.112xlarge,249.9,,,,,,89.4712,89.4712,89.4712,89.4712,89.4712,89.4712
us-east-1,u7i-12tb.224xlarge,135.22775,,,,,,135.22775,135.22775,135.22775,135.22775,135.22775,135.22775
us-east-1,u7i-6tb.112xlarge,62.79,,,,,,,,,,,
us-east-1,u7i-8tb.112xlarge,91.2912,,,,,,,,,,,
us-east-1,u7in-16tb.224xlarge,180.47558,,,,,,180.47558,180.47558,180.47558,180.47558,180.47558,180.47558
us-east-1,u7in-24tb.224xlarge,0.0,,,,,,285.87368,285.87368,285.87368,285.87368,285.87368,285.87368
us-east-1,u7in-32tb.224xlarge,360.98695,,,,,,360.98695,360.98695,360.98695,360.98695,360.98695,360.98695
us-east-1,vt1.24xlarge,0.0,1.2688,,,,,5.2,5.2,5.2,5.2,5.2,5.2
us-east-1,vt1.3xlarge,0.65,0.2426,,,,,0.65,0.65,0.65,0.65,0.65,0.65
us-east-1,vt1.6xlarge,0.0,0.7212,,,,,1.3,1.3,1.3,1.3,1.3,1.3
us-east-1,x1.16xlarge,0.0,1.5233,,,,,7.751,7.751,7.751,7.751,7.751,7.751
us-east-1,x1.32xlarge,28.698,3.5849,,,,,28.698,28.698,28.698,28.698,28.698,28.698
us-east-1,x1e.16xlarge,13.344,2.6986,,,,,13.344,13.344,13.344,13.344,13.344,13.344
us-east-1,x1e.2xlarge,0.0,0.5527,,,,,2.628,2.628,2.628,2.628,2.628,2.628
us-east-1,x1e.32xlarge,0.0,4.2662,,,,,42.048,42.048,42.048,42.048,42.048,42.048
us-east-1,x1e.4xlarge,5.256,1.259,,,,,9.336,9.336,9.336,9.336,9.336,9.336
us-east-1,x1e.8xlarge,7.213,1.8153,,,,,18.672,18.672,18.672,18.672,18.672,18.672
us-east-1,x1e.xlarge,0.0,0.1665,,,,,2.334,2.334,2.334,2.334,2.334,2.334
us-east-1,x2gd.12xlarge,0.0,1.3705,,,,,4.008,4.008,4.008,4.008,4.008,4.008
us-east-1,x2gd.16xlarge,0.0,2.4816,,,,,5.344,5.344,5.344,5.344,5.344,5.344
us-east-1,x2gd.2xlarge,0.668,0.1654,,,,,0.668,0.668,0.668,0.668,0.668,0.668
us-east-1,x2gd.4xlarge,1.336,0.6714,,,,,1.336,1.336,1.336,1.336,1.336,1.336
us-east-1,x2gd.8xlarge,2.672,0.7807,,,,,2.672,2.672,2.672,2.672,2.672,2.672
us-east-1,x2gd.large,0.167,0.0504,,,,,0.167,0.167,0.167,0.167,0.167,0.167
us-east-1,x2gd.medium,0.0835,0.0208,,,,,0.0835,0.0835,0.0835,0.0835,0.0835,0.0835
us-east-1,x2gd.metal,0.0,0.6472,,,,,5.344,5.344,5.344,5.344,5.344,5.344
us-east-1,x2gd.xlarge,0.334,0.0829,,,,,0.334,0.334,0.334,0.334,0.334,0.334
us-east-1,x2idn.16xlarge,0.0,2.2472,,,,,7.7506,7.7506,7.7506,7.7506,7.7506,7.7506
us-east-1,x2idn.24xlarge,46.0035,2.7802,,,,,46.0035,46.0035,46.0035,46.0035,46.0035,46.0035
us-east-1,x2idn.32xlarge,0.0,5.5865,,,,,28.698,28.698,28.698,28.698,28.698,28.698
us-east-1,x2idn.metal,0.0,3.4514,,,,,28.698,28.698,28.698,28.698,28.698,28.698
us-east-1,x2iedn.16xlarge,21.018,4.0648,,,,,37.338,37.338,37.338,37.338,37.338,37.338
us-east-1,x2iedn.24xlarge,56.007,5.6374,,,,,56.007,56.007,56.007,56.007,56.007,56.007
