priceType,skuName,productName,retailPrice,unitOfMeasure,location,meterName,reservationTerm,currencyCode,armRegionName,serviceName
,M16ms,Virtual Machines MS Series Windows,3.073,1 Hour,US East 2,M16ms,,USD,eastus2,Virtual Machines
,NG32adsV620 Low Priority,Virtual Machines NGadsV620v1 Series,0.508,1 Hour,US East 2,NG32adsV620 Low Priority,,USD,eastus2,Virtual Machines
,FX32ms v2 Spot,Virtual Machines FXmsv2 Series Windows,0.70182,1 Hour,US East 2,FX32ms v2 Spot,,USD,eastus2,Virtual Machines
,FX32ms v2 Spot,Virtual Machines FXmsv2 Series Windows,0.49574,1 Hour,US East 2,FX32ms v2 Spot,,USD,eastus2,Virtual Machines
,Standard_EC96as_v5,ECasv5-series Windows,9.84,1 Hour,US East 2,EC96as_v5,,USD,eastus2,Virtual Machines
,Standard_EC96as_v5,ECasv5-series Windows,5.424,1 Hour,US East 2,EC96as_v5,,USD,eastus2,Virtual Machines
,E32-8ds v4,Virtual Machines Edsv4 Series Windows,3.776,1 Hour,US East 2,E32-8ds v4,,USD,eastus2,Virtual Machines
,E32-8ds v4,Virtual Machines Edsv4 Series Windows,2.304,1 Hour,US East 2,E32-8ds v4,,USD,eastus2,Virtual Machines
,M128-32ms Low Priority,Virtual Machines MS Series Windows,14.3256,1 Hour,US East 2,M128-32ms Low Priority,,USD,eastus2,Virtual Machines
,M128-32ms Low Priority,Virtual Machines MS Series Windows,5.3376,1 Hour,US East 2,M128-32ms Low Priority,,USD,eastus2,Virtual Machines
,M64ds_v2,Virtual Machines MdSv2 Series Windows,9.613,1 Hour,US East 2,M64ds_v2,,USD,eastus2,Virtual Machines
,M64ds_v2,Virtual Machines MdSv2 Series Windows,6.669,1 Hour,US East 2,M64ds_v2,,USD,eastus2,Virtual Machines
,E64-32s v6 Spot,Virtual Machines Esv6 Series,0.59276,1 Hour,US East 2,E64-32s v6 Spot,,USD,eastus2,Virtual Machines
,F1 Low Priority,Virtual Machines F Series Windows,0.038,1 Hour,US East 2,F1/F1s Low Priority,,USD,eastus2,Virtual Machines
,F1 Low Priority,Virtual Machines F Series Windows,0.0099,1 Hour,US East 2,F1/F1s Low Priority,,USD,eastus2,Virtual Machines
,B2pls v2 Spot,Virtual Machines Bpsv2 Series,0.023974,1 Hour,US East 2,B2pls v2 Spot,,USD,eastus2,Virtual Machines
,Standard_FX36mds,Virtual Machines FX Series,3.348,1 Hour,US East 2,FX36mds,,USD,eastus2,Virtual Machines
,Standard_FX36mds,Virtual Machines FX Series,17304.0,1 Hour,US East 2,FX36mds,1 Year,USD,eastus2,Virtual Machines
,Standard_FX36mds,Virtual Machines FX Series,31675.0,1 Hour,US East 2,FX36mds,3 Years,USD,eastus2,Virtual Machines
,Standard_M24-12s_v3,Virtual Machines Msv3 Medium Memory Series Windows,3.622,1 Hour,US East 2,Standard_M24-12s_v3,,USD,eastus2,Virtual Machines
,Standard_M24-12s_v3,Virtual Machines Msv3 Medium Memory Series Windows,3.07,1 Hour,US East 2,Standard_M24-12s_v3,,USD,eastus2,Virtual Machines
,L8aos v4,Virtual Machines Laosv4 Series Windows,1.272,1 Hour,US East 2,L8aos v4,,USD,eastus2,Virtual Machines
,L8aos v4,Virtual Machines Laosv4 Series Windows,0.904,1 Hour,US East 2,L8aos v4,,USD,eastus2,Virtual Machines
,E2as v5 Low Priority,Easv5 Series CloudServices,0.0636,1 Hour,US East 2,E2as v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_EC96iads_v5 Low Priority,ECadsv5-series Windows,4.533,1 Hour,US East 2,EC96iads_v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_EC96iads_v5 Low Priority,ECadsv5-series Windows,1.383,1 Hour,US East 2,EC96iads_v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_M96ds_2_v3 Spot,Virtual Machines Mdsv3 Medium Memory Series Linux,1.8522,1 Hour,US East 2,Standard_M96ds_2_v3 Spot,,USD,eastus2,Virtual Machines
,D96pls v6,Virtual Machines Dplsv6 Series,2.976,1 Hour,US East 2,D96pls v6,,USD,eastus2,Virtual Machines
,D96pls v6,Virtual Machines Dplsv6 Series,15381.0,1 Hour,US East 2,D96pls v6,1 Year,USD,eastus2,Virtual Machines
,D96pls v6,Virtual Machines Dplsv6 Series,29720.0,1 Hour,US East 2,D96pls v6,3 Years,USD,eastus2,Virtual Machines
